site;from;to;remarks;reference;type
Barbarossa;20500;20500;data from resmelting contractors;Sapere acc. to Nihlén, field notes, 1958:25;re
Procchio;10800;10800;data from resmelting contractors;Sapere acc. to Nihlén, field notes, 1958:25;re
Guardiola;15000;20000;data from resmelting contractors;Sapere acc. to Nihlén, field notes, 1958:25;re
S. Andrea;10000;30000;"data from resmelting contractors: 10000t; measurements of Nihlén: max. 100 x 50 x 8 m";"Sapere acc. to Nihlén, field notes, 1958:25; Nihlén, report, 1958:38";re
S. Giovanni;10500;10500;"data from resmelting contractors; personal information form land owner (Annamaria Gasparri): 10000 t";"Sapere acc. to Nihlén, field notes, 1958:25; Pagliantini 2014";re
Magazzini;1000;5000;map;Zecchini 2001;ma
RM Spiazzi;100;25000;excavation and map;"Mellini 1879, 86 f. Corretti 1988, 16. – Zecchini 2001, 196 Anm. 395. Pagliantini 2014, S.350.; Angaben aus Monaco 1965, Grabung nach Mellini 1878";me
Straccoligno;1000;1000;data from resmelting contractors;Sapere acc. to Nihlén, field notes, 1958:25;me
Naregno;1200;1200;data from resmelting contractors;Sapere acc. to Nihlén, field notes, 1958:25;re
La Pila;600;600;approximated volume from survey data;Corretti 1988:18;me
Forcioni;900;900;calculation from area measurements (30 x 20 m) and estimated height (2 m);"Corretti 1988;18 and Pagliantini 2014:20";me
Seccheto;1000;9000;calculation from area measurements (6000 sqm) based on personal information from locals, and estimated height (2 m);-;me
Pomonte;22500;33750;Calculation from area estimation (15000 sqm) and estimated height (2–3 m);"Arnaldi n.d.:21 (area); locals, pers. Comm. (depth)";me
Patresi;1000;5000;map;Zecchini 2001;ma
MarcianaMar;9000;10500;Calculation from area estimation (3.000/3500 sqm) and estimated height (4 m);Zecchini 2001;me
Galenzana;1000;5000;own estimation based on Zecchinis (2001) classification;-;est
Capo Pero;9000;13500;"Calculation from area estimation (3.000/4000 sqm) and estimated height ( 4/4.5 m); smaller area in Pagliantini 2014:27";Zecchini 2001:197;me
Fornacelle;1000;5000;map;Zecchini 2001;ma
San Bennato;6750;13350;Calculation from area estimation (45 sqm) and estimated height ( 0.6 m);Firmati et al. 2006:303;me
Paolina;15000;20000;estimation;Zecchini 2001:192;ma
